,LocationID,LocationCode,Building,Room,Capacity,SeatsMax
0,1,BD,,,0,6
1,2,BH,,,0,11
2,3,BH BY ARR,,,0,16
3,4,BPS,,,0,10
4,5,BW,,,0,8
5,6,BY ARR,,,0,35
6,7,BY ARR X,,,0,30
7,8,CMC,,,0,6
8,9,DH,,,25,25
9,10,FPS,,,0,10
10,11,GBMH,,,0,7
11,12,GR,,,0,8
12,13,GRF,,,0,8
13,14,HSR,,,0,6
14,15,JHE,,,0,10
15,16,KEL PRES,,,0,28
16,17,LCH,,,0,10
17,18,LUDLW,,,0,8
18,19,MILY,,,0,10
19,20,NCRGUA,,,0,9
20,21,NHD,,,0,10
21,22,NOR,,,0,24
22,23,NWG,,,0,10
23,24,ONLINE,,,0,73
24,25,RVNA,,,0,11
25,26,SHC,,,0,4
26,27,SILV,,,0,8
27,28,STAMH,,,0,20
28,29,STJ,,,0,9
29,30,STM,,,0,8
30,31,STV,,,0,10
31,32,STW,,,0,7
32,33,TBA,,,0,76
33,34,VA,,,0,10
34,35,WTBRY,,,0,6
35,36,YAL,,,9,9
36,37,BCC 200,BCC,200,48,35
37,38,BLM 112,BLM,112,15,15
38,39,BLM LL105,BLM,LL105,30,30
39,40,BNW 124,BNW,124,40,40
40,41,BNW 127,BNW,127,38,38
41,42,BNW 128,BNW,128,25,25
42,43,BNW 129B,BNW,129B,24,30
43,44,BNW 130,BNW,130,20,20
44,45,BNW 131,BNW,131,64,64
45,46,BNW 133,BNW,133,25,25
46,47,BNW 136,BNW,136,10,10
47,48,BNW 137,BNW,137,32,37
48,49,BNW 138,BNW,138,37,37
49,50,BNW 139,BNW,139,40,42
50,51,BNW 143,BNW,143,12,12
51,52,BNW 144,BNW,144,15,15
52,53,BNW 162,BNW,162,25,25
53,54,BNW 163,BNW,163,20,20
54,55,BNW 166,BNW,166,35,35
55,56,BNW 236,BNW,236,25,25
56,57,BNW 238A,BNW,238A,16,16
57,58,BNW 239,BNW,238A,16,16
58,59,BNW 240,BNW,240,21,21
59,60,BNW 245,BNW,245,16,16
60,61,BNW 253,BNW,253,39,39
61,62,BNW 254,BNW,254,48,50
62,63,BNW 254A,BNW,254A,46,50
63,64,BNW 256,BNW,256,35,35
64,65,BNW 261,BNW,261,16,16
65,66,BNW 264,BNW,264,16,16
66,67,BNW 267,BNW,267,18,18
67,68,BNW 269,BNW,269,17,17
68,69,BNW 319,BNW,319,12,12
69,70,BNW 329,BNW,329,12,12
70,71,BNW 332,BNW,332,32,32
71,72,BNW 333,BNW,333,38,38
72,73,BNW 334,BNW,334,38,40
73,74,BNW 335,BNW,335,35,41
74,75,BNW 339,BNW,339,18,18
75,76,BNW 340,BNW,340,37,43
76,77,BNW 341,BNW,341,30,48
77,78,BNW 343,BNW,343,15,15
78,79,BNW 361,BNW,361,16,16
79,80,BNW 362,BNW,362,16,16
80,81,BNW 363,BNW,363,24,24
81,82,BNW 369,BNW,369,16,16
82,83,BNW 469,BNW,469,35,35
83,84,BNW GR22,BNW,GR22,32,43
84,85,CMP 313,CMP,313,27,27
85,86,CMP 413,CMP,413,27,27
86,87,CNS 1,CNS,1,50,50
87,88,CNS 10,CNS,10,30,35
88,89,CNS 101,CNS,101,24,35
89,90,CNS 103,CNS,103,0,35
90,91,CNS 104,CNS,104,26,35
91,92,CNS 106,CNS,106,26,30
92,93,CNS 108,CNS,108,24,35
93,94,CNS 15,CNS,15,24,36
94,95,CNS 2,CNS,2,24,35
95,96,CNS 200,CNS,200,20,35
96,97,CNS 202,CNS,202,42,35
97,98,CNS 203,CNS,203,24,35
98,99,CNS 204,CNS,204,24,30
99,100,CNS 206,CNS,206,26,30
100,101,CNS 207,CNS,207,23,23
101,102,CNS 207A,CNS,207A,15,15
102,103,CNS 208,CNS,208,26,30
103,104,CNS 209,CNS,209,24,35
104,105,CNS 301,CNS,301,36,32
105,106,CNS 303,CNS,303,28,35
106,107,CNS 304,CNS,304,48,32
107,108,CNS 305,CNS,305,28,35
108,109,CNS 306,CNS,306,22,30
109,110,CNS 5,CNS,5,32,32
110,111,CNS 6,CNS,6,35,35
111,112,CNS 8,CNS,6,25,25
112,113,CNS 9,CNS,9,30,35
113,114,DLH 107,DLH,107,25,25
114,115,DMH 126,DMH,126,10,10
115,116,DMH 131,DMH,131,19,35
116,117,DMH 148,DMH,148,38,38
117,118,DMH 149,DMH,149,36,36
118,119,DMH 230,DMH,230,9,15
119,120,DMH 231,DMH,231,18,35
120,121,DMH 241,DMH,241,25,25
121,122,DMH 245,DMH,245,18,18
122,123,DMH 330,DMH,245,14,20
123,124,DMH 331,DMH,331,19,32
124,125,DMH 347,DMH,347,32,35
125,126,DMH 348,DMH,348,30,35
126,127,DMH 349,DMH,349,35,35
127,128,DMH 350,DMH,350,31,35
128,129,DSB 104,DSB,104,24,32
129,130,DSB 105,DSB,105,40,48
130,131,DSB 106,DSB,106,32,32
131,132,DSB 107,DSB,107,32,35
132,133,DSB 108,DSB,108,32,31
133,134,DSB 109,DSB,109,32,30
134,135,DSB 110,DSB,110,120,28
135,136,DSB 110A,DSB,110A,60,60
136,137,DSB 110B,DSB,110B,60,60
137,138,DSB 111,DSB,111,36,32
138,139,DSB 112,DSB,112,36,42
139,140,DSB 114,DSB,114,32,31
140,141,DSB 115,DSB,115,32,32
141,142,DSB 2109A,DSB,2109A,15,27
142,143,CONF 104,DSB,9,30,30
143,144,CONF 1109A,DSB,9,15,25
144,145,DSBN 101,DSBN,101,60,33
145,146,DSBN 105,DSBN,105,36,32
146,147,DSBN 106,DSBN,106,4,10
147,148,DSBN 110,DSBN,110,32,33
148,149,DSBN 111,DSBN,111,32,33
149,150,DSBN 112,DSBN,112,32,32
150,151,DSBN 113,DSBN,113,32,32
151,152,DSBN 115,DSBN,115,14,25
152,153,DSBN 201,DSBN,201,60,33
153,154,DSBN 202,DSBN,202,28,30
154,155,DSBN 204,DSBN,204,36,34
155,156,DSBN 206,DSBN,206,36,32
156,157,DSBN 212,DSBN,212,36,300
157,158,DSBN 215,DSBN,215,36,33
158,159,DSBN 216,DSBN,216,36,33
159,160,DSBN 217,DSBN,217,36,32
160,161,DSBN 218,DSBN,218,32,30
161,162,DSBN 301,DSBN,301,14,25
162,163,DSBN 362,DSBN,362,6,15
163,164,DSBN L03,DSBN,L03,36,33
164,165,DSBN L11,DSBN,L11,36,33
165,166,DW 173,DW,173,6,6
166,167,DW 371,DW,371,6,6
167,168,DW G101,DW,G101,10,10
168,169,DW G105,DW,G105,6,6
169,170,DW G108,DW,G108,8,8
170,171,DW G109,DW,G109,0,0
171,172,DW G111,DW,G111,20,20
172,173,EGN,EGN,,100,27
173,174,EGN COMM,EGN,COMM,35,35
174,175,EGN MCGRATH,EGN,MCGRATH,35,35
175,176,FBR,FBR,,27,27
176,177,FBR 1DR1,FBR,1DR1,35,35
177,178,GNZ AUDI,GNZ,AUDI,100,100
178,179,JGS 25,JGS,25,35,35
179,180,JGS LAB-A,JGS,LAB-A,12,12
180,181,LNG 109,LNG,109,30,30
181,182,LYL 145,LYL,145,28,28
182,183,LYL 227B,LYL,227B,35,35
183,184,LYL 20,LYL,L 20,18,18
184,185,LYL 21,LYL,L 21,18,18
185,186,LYL 22,LYL,L 22,18,18
186,187,LYL 1,LYL,YL 1,18,18
187,188,LYL 2,LYL,YL 2,35,35
188,189,LYL 8,LYL,YL 8,24,24
189,190,MCA 101,MCA,101,0,0
190,191,MCA 102,MCA,102,56,50
191,192,MCA 107,MCA,107,24,48
192,193,MCA 112,MCA,112,24,24
193,194,MCA 113,MCA,112,30,30
194,195,MCA 202,MCA,202,60,60
195,196,MCA 203,MCA,203,14,14
196,197,MCA 204,MCA,204,30,60
197,198,MCA 206,MCA,206,28,60
198,199,MCK 101,MCK,101,35,35
199,200,MEDIA 106,MCK,101,18,18
200,201,MEDIA 107,MCK,101,18,18
201,202,MEDIA 110,MCK,101,15,15
202,203,MIL,MCK,101,8,8
203,204,SON,NHS,,10,10
204,205,SON ANNEX,NHS,,10,10
205,206,NHS 103,NHS,103,60,65
206,207,NHS 103/104,NHS,103/104,60,86
207,208,NHS 104,NHS,104,60,60
208,209,NHS 104A,NHS,104,3,25
209,210,SON 118,NHS,118,20,20
210,211,SON 124,NHS,124,35,35
211,212,NHS 201C,NHS,201C,15,15
212,213,NHS 203,NHS,203,64,65
213,214,SON 203,NHS,203,91,91
214,215,NHS 204,NHS,204,72,71
215,216,NHS 205,NHS,205,60,60
216,217,NHS 208,NHS,208,12,20
217,218,SON 209,NHS,209,12,12
218,219,NHS 210,NHS,210,49,49
219,220,SON 212,NHS,212,21,21
220,221,SON 214,NHS,214,45,45
221,222,SON 217,NHS,217,40,40
222,223,NHS 224,NHS,224,98,93
223,224,NHS 301,NHS,301,10,10
224,225,NHS 308,NHS,308,60,60
225,226,NHS 403,NHS,403,30,48
226,227,NHS 403A,NHS,403A,8,20
227,228,NHS 404,NHS,404,48,49
228,229,NHS 405,NHS,405,30,36
229,230,NHS 405A,NHS,405A,8,18
230,231,NHS 407,NHS,407,30,30
231,232,NHS 410,NHS,410,32,42
232,233,NHS 411,NHS,411,24,50
233,234,NYS 101,NYS,101,86,80
234,235,NYS 106A,NYS,101,32,30
235,236,NYS 107C,NYS,107C,35,35
236,237,NYS 114,NYS,114,25,25
237,238,NYS 115,NYS,115,30,30
238,239,NYS 218,NYS,115,15,15
239,240,PTH DESIGN,PTH,DESIGN,10,10
240,241,PTH MAIN,PTH,MAIN,50,50
241,242,QCK SCENE,QCK,SCENE,12,12
242,243,SWH 102,SWH,102,0,25
243,244,XVR TV,XVR,,20,20
244,245,XVR 13,XVR,13,25,25
245,246,XVR 15,XVR,13,20,20
246,247,XVR 5,XVR,5,27,27
